Name	GWP_constr	GWP_op
NUCLEAR	93,811895	0,000000
CCGT	216,650654	0,000000
COAL_US	99,777812	0,000000
COAL_IGCC	0,000000	0,000000
PV	433,618610	0,000000
PT_POWER_BLOCK	0,000000	0,000000
ST_POWER_BLOCK	0,000000	0,000000
STIRLING_DISH	0,000000	0,000000
WIND_ONSHORE	490,898629	0,000000
WIND_OFFSHORE	0,000000	0,000000
HYDRO_DAM	743,255616	0,000000
HYDRO_RIVER	39,796768	0,000000
NEW_TIDAL_STREAM	0,000000	0,000000
TIDAL_STREAM	0,000000	0,000000
TIDAL_RANGE	0,000000	0,000000
WAVE	0,000000	0,000000
GEOTHERMAL	0,000000	0,000000
IND_COGEN_GAS	139,099129	0,000000
IND_COGEN_WOOD	0,000000	0,000000
IND_COGEN_WASTE	7,100927	0,000000
IND_BOILER_GAS	2,471297	0,000000
IND_BOILER_WOOD	1,976509	0,000000
IND_BOILER_OIL	0,567336	0,000000
IND_BOILER_COAL	2,886203	0,000000
IND_BOILER_WASTE	1,423086	0,000000
IND_DIRECT_ELEC	0,067535	0,000000
DHN_HP_ELEC	0,000000	0,000000
DHN_COGEN_GAS	0,000000	0,000000
DHN_COGEN_WOOD	3,391002	0,000000
DHN_COGEN_WET_BIOMASS	0,000000	0,000000
DHN_COGEN_WASTE	0,000000	0,000000
DHN_BOILER_GAS	0,000000	0,000000
DHN_BOILER_WOOD	0,000000	0,000000
DHN_BOILER_OIL	0,000000	0,000000
DHN_DEEP_GEO	2,564658	0,000000
DHN_SOLAR	0,000000	0,000000
DEC_HP_ELEC	0,000000	0,000000
DEC_THHP_GAS	0,000000	0,000000
DEC_COGEN_GAS	0,000000	0,000000
DEC_COGEN_OIL	0,000000	0,000000
DEC_ADVCOGEN_GAS	0,000000	0,000000
DEC_ADVCOGEN_H2	0,000000	0,000000
DEC_BOILER_GAS	62,153842	0,000000
DEC_BOILER_WOOD	26,886241	0,000000
DEC_BOILER_OIL	41,323179	0,000000
DEC_SOLAR	53,728096	0,000000
DEC_DIRECT_ELEC	1,064026	0,000000
BIG_SPLIT	0,000000	0,000000
CHILLER_WC	0,000000	0,000000
TRAMWAY_TROLLEY	0,000000	0,000000
BUS_COACH_DIESEL	0,000000	0,000000
BUS_COACH_HYDIESEL	0,000000	0,000000
BUS_COACH_CNG_STOICH	0,000000	0,000000
BUS_COACH_FC_HYBRIDH2	0,000000	0,000000
TRAIN_PUB	0,000000	0,000000
BOAT_PASS_DIESEL	0,000000	0,000000
BOAT_PASS_NG	0,000000	0,000000
PLANES	0,000000	0,000000
CAR_GASOLINE	12302,001817	0,000000
CAR_DIESEL	16290,736930	0,000000
MOTORCYCLE	23395,222981	0,000000
CAR_NG	6,466569	0,000000
CAR_HEV	0,000000	0,000000
CAR_PHEV	0,000000	0,000000
CAR_BEV	7,279618	0,000000
CAR_FUEL_CELL	0,000000	0,000000
TRAIN_FREIGHT	0,000000	0,000000
BOAT_FREIGHT_DIESEL	0,000000	0,000000
BOAT_FREIGHT_NG	0,000000	0,000000
TRUCK_DIESEL	0,000000	0,000000
TRUCK_FUEL_CELL	0,000000	0,000000
TRUCK_NG	0,000000	0,000000
NON_ENERGY_OIL	0,000000	0,000000
NON_ENERGY_NG	0,000000	0,000000
DAM_STORAGE	0,000000	0,000000
PHS	460,149200	0,000000
BATT_LI	0,000000	0,000000
CAES	0,000000	0,000000
BEV_BATT	0,000000	0,000000
PHEV_BATT	0,000000	0,000000
TS_DEC_HP_ELEC	0,000000	0,000000
TS_DEC_DIRECT_ELEC	0,000000	0,000000
TS_DHN_DAILY	0,000000	0,000000
TS_DHN_SEASONAL	0,000000	0,000000
TS_DEC_THHP_GAS	0,000000	0,000000
TS_DEC_COGEN_GAS	0,000000	0,000000
TS_DEC_COGEN_OIL	0,000000	0,000000
TS_DEC_ADVCOGEN_GAS	0,000000	0,000000
TS_DEC_ADVCOGEN_H2	0,000000	0,000000
TS_DEC_BOILER_GAS	0,000000	0,000000
TS_DEC_BOILER_WOOD	0,000000	0,000000
TS_DEC_BOILER_OIL	0,000000	0,000000
SEASONAL_NG	0,000000	0,000000
SEASONAL_H2	0,000000	0,000000
CO2_STORAGE	0,000000	0,000000
SLF_STO	0,000000	0,000000
PT_STORAGE	0,000000	0,000000
ST_STORAGE	0,000000	0,000000
TS_MOLTEN_SALT	0,000000	0,000000
TS_COLD	0,000000	0,000000
EFFICIENCY	0,000000	0,000000
DHN	0,000000	0,000000
GRID	0,000000	0,000000
PT_COLLECTOR	0,000000	0,000000
ST_COLLECTOR	0,000000	0,000000
H2_ELECTROLYSIS	0,000000	0,000000
H2_NG	0,000000	0,000000
H2_BIOMASS	0,000000	0,000000
GASIFICATION_SNG	0,000000	0,000000
PYROLYSIS	0,000000	0,000000
ATM_CCS	0,000000	0,000000
INDUSTRY_CCS	0,000000	0,000000
SYN_METHANOLATION	0,000000	0,000000
SYN_METHANATION	0,000000	0,000000
BIOMETHANATION	0,000000	0,000000
SLF_TO_DIESEL	0,000000	0,000000
SLF_TO_GASOLINE	0,000000	0,000000
SLF_TO_LFO	0,000000	0,000000
ELECTRICITY	0,000000	0,000000
GASOLINE	0,000000	25840,902364
DIESEL	0,000000	61853,175725
BIOETHANOL	0,000000	558,240000
BIODIESEL	0,000000	2474,398800
LFO	0,000000	23232,115627
NG	0,000000	65547,257624
SLF	0,000000	0,000000
SNG	0,000000	0,000000
WOOD	0,000000	0,000000
WET_BIOMASS	0,000000	0,000000
COAL	0,000000	45412,207677
URANIUM	0,000000	0,000000
WASTE	0,000000	3273,673240
H2	0,000000	0,000000
ELEC_EXPORT	0,000000	0,000000
CO2_EMISSIONS	0,000000	0,000000
RES_WIND	0,000000	0,000000
RES_SOLAR	0,000000	0,000000
RES_HYDRO	0,000000	0,000000
RES_GEO	0,000000	0,000000
CO2_ATM	0,000000	0,000000
CO2_INDUSTRY	0,000000	0,000000
CO2_CAPTURED	0,000000	0,000000
PT_HEAT	0,000000	0,000000
ST_HEAT	0,000000	0,000000
KEROSENE	0,000000	3376,513579
