Name	C_inv	C_maint	C_op
NUCLEAR	391.421447	327.423466	0.000000
CCGT	1016.652492	538.363262	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1645.179037	423.742515	0.000000
PT_POWER_BLOCK	353.728691	439.577460	0.000000
ST_POWER_BLOCK	10.918365	18.552870	0.000000
STIRLING_DISH	2.016253	0.760978	0.000000
WIND_ONSHORE	2179.658273	145.462370	0.000000
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_DAM	2283.253925	341.499769	0.000000
HYDRO_RIVER	196.826421	58.877151	0.000000
NEW_TIDAL_STREAM	0.000000	0.000000	0.000000
TIDAL_STREAM	0.000000	0.000000	0.000000
TIDAL_RANGE	0.000000	0.000000	0.000000
WAVE	0.033024	0.012474	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	278.360660	379.351565	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	135.143794	106.464412	0.000000
IND_BOILER_GAS	15.296278	4.568608	0.000000
IND_BOILER_WOOD	8.992207	2.681053	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	8.092986	2.412948	0.000000
IND_BOILER_WASTE	17.984413	5.362107	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	26.847370	19.354595	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	62.704843	57.264713	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	1144.589576	767.458080	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	228.456267	102.192494	0.000000
DEC_BOILER_WOOD	563.573120	293.979409	0.000000
DEC_BOILER_OIL	165.399368	147.894297	0.000000
DEC_SOLAR	514.812298	99.447496	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
BIG_SPLIT	838.828242	450.264176	0.000000
CHILLER_WC	22.154657	15.214612	0.000000
TRAMWAY_TROLLEY	739.095947	355.000171	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	250.134914	166.880422	0.000000
BUS_COACH_FC_HYBRIDH2	21.318317	8.533658	0.000000
TRAIN_PUB	2269.492375	2450.301928	0.000000
BOAT_PASS_DIESEL	7.251827	10.847227	0.000000
BOAT_PASS_NG	3.625914	5.423614	0.000000
PLANES	869.087959	874.565658	0.000000
CAR_GASOLINE	13224.432383	4003.748014	0.000000
CAR_DIESEL	8572.756817	2675.913871	0.000000
MOTORCYCLE	9240.299006	11362.087644	0.000000
CAR_NG	915.896914	350.521914	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	3078.333333	433.481186	0.000000
CAR_FUEL_CELL	47.144368	2.687830	0.000000
TRAIN_FREIGHT	32.808845	19.630087	0.000000
BOAT_FREIGHT_DIESEL	118.344145	177.018257	0.000000
BOAT_FREIGHT_NG	6.228639	9.316750	0.000000
TRUCK_DIESEL	6713.491913	4478.984345	0.000000
TRUCK_FUEL_CELL	38.095810	15.249638	0.000000
TRUCK_NG	281.193379	187.601439	0.000000
NON_ENERGY_OIL	0.000000	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	4640.201354	0.000000	0.000000
BATT_LI	0.000000	0.000000	0.000000
CAES	0.000000	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_HP_ELEC	51.000859	7.397026	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	33.741924	3.883998	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
TS_DEC_BOILER_GAS	24.313144	3.526312	0.000000
TS_DEC_BOILER_WOOD	25.667366	3.722725	0.000000
TS_DEC_BOILER_OIL	20.199533	2.929685	0.000000
SEASONAL_NG	0.000000	0.000000	0.000000
SEASONAL_H2	0.008607	0.000716	0.000000
CO2_STORAGE	0.000000	0.000000	0.000000
SLF_STO	0.002840	0.003048	0.000000
PT_STORAGE	197.239815	40.859803	0.000000
ST_STORAGE	1.995333	0.413230	0.000000
TS_MOLTEN_SALT	0.000000	0.000000	0.000000
TS_COLD	510.556615	105.186745	0.000000
EFFICIENCY	3320.000000	0.000000	0.000000
