Name	Used	Potential
ELECTRICITY	1149.107652	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	10000.000000
BIODIESEL	0.000000	10000.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	59698.112758	81898.460000
WET_BIOMASS	158702.980000	158702.980000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	38204.550000	38204.550000
H2	0.000000	0.000000
ELEC_EXPORT	1.785980	100000000.000000
CO2_EMISSIONS	68006.559635	100000000.000000
RES_WIND	468203.340483	100000000.000000
RES_SOLAR	19778.931463	100000000.000000
RES_HYDRO	28059.508295	100000000.000000
RES_GEO	29568.215716	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	-0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
KEROSENE	0.000000	100000000.000000
