Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	74469.331451	100000000.000000
DIESEL	154003.813632	100000000.000000
BIOETHANOL	0.000000	10000.000000
BIODIESEL	0.000000	10000.000000
LFO	39642.231591	100000000.000000
NG	220745.373616	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	81898.460000	81898.460000
WET_BIOMASS	11134.903645	158702.980000
COAL	33990.418286	100000000.000000
URANIUM	147984.847496	100000000.000000
WASTE	38204.550000	38204.550000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	53409.402742	100000000.000000
RES_WIND	83597.709227	100000000.000000
RES_SOLAR	83369.171200	100000000.000000
RES_HYDRO	28059.578843	100000000.000000
RES_GEO	13507.085105	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
KEROSENE	21667.506381	100000000.000000
